Country/Region,Region,Measure,Avg_Value,Date Range
Afghanistan,Asia,Birth Rate,4.31538461538461e-02,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Business Tax Rate,0.363,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,CO2 Emissions,2375.72727272727,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Days to Start Business,8.11111111111111,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Ease of Business,170,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Energy Usage,,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,GDP,9718945316.33333,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Health Exp % GDP,9.19090909090909e-02,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Health Exp/Capita,30.6363636363636,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Hours to do Tax,275,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Infant Mortality Rate,8.27692307692308e-02,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Internet Usage,2.10833333333333e-02,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Lending Interest,0.159714285714286,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Life Expectancy Female,58.7692307692308,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Life Expectancy Male,56.3846153846154,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Mobile Phone Usage,0.249545454545455,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Population 0-14,0.490307692307692,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Population 15-64,0.488769230769231,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Population 65+,2.07692307692308e-02,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Population Total,25399258.7692308,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Population Urban,0.232923076923077,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Tourism Inbound,106000000,Data between 2000 and 2012 for Afghanistan in Asia.
Afghanistan,Asia,Tourism Outbound,82400000,Data between 2000 and 2012 for Afghanistan in Asia.
Albania,Europe,Birth Rate,1.46923076923077e-02,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Business Tax Rate,0.4255,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,CO2 Emissions,3902.09090909091,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Days to Start Business,23,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Ease of Business,82,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Energy Usage,2024.58333333333,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,GDP,8895522477.46154,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Health Exp % GDP,6.14615384615385e-02,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Health Exp/Capita,168.846153846154,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Hours to do Tax,364.5,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Infant Mortality Rate,1.77692307692308e-02,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Internet Usage,0.191230769230769,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Lending Interest,0.142384615384615,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Life Expectancy Female,79.2307692307692,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Life Expectancy Male,73,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Mobile Phone Usage,0.557769230769231,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Population 0-14,0.258384615384615,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Population 15-64,0.653692307692308,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Population 65+,8.79230769230769e-02,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Population Total,2956845.23076923,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Population Urban,0.478538461538462,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Tourism Inbound,1165230769.23077,Data between 2000 and 2012 for Albania in Europe.
Albania,Europe,Tourism Outbound,1007076923.07692,Data between 2000 and 2012 for Albania in Europe.
Algeria,Africa,Birth Rate,2.20769230769231e-02,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Business Tax Rate,0.737125,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,CO2 Emissions,102837.636363636,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Days to Start Business,25,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Ease of Business,151,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Energy Usage,34042.1666666667,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,GDP,118960299587.923,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Health Exp % GDP,3.84615384615385e-02,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Health Exp/Capita,133.846153846154,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Hours to do Tax,451,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Infant Mortality Rate,2.77692307692308e-02,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Internet Usage,7.33076923076923e-02,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Lending Interest,8.32307692307692e-02,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Life Expectancy Female,71.6153846153846,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Life Expectancy Male,68.3846153846154,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Mobile Phone Usage,0.497307692307692,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Population 0-14,0.292692307692308,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Population 15-64,0.663076923076923,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Population 65+,4.42307692307692e-02,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Population Total,34760672.0769231,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Population Urban,0.645153846153846,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Tourism Inbound,275230769.230769,Data between 2000 and 2012 for Algeria in Africa.
Algeria,Africa,Tourism Outbound,451307692.307692,Data between 2000 and 2012 for Algeria in Africa.
American Samoa,Oceania,Birth Rate,0.0205,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Business Tax Rate,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,CO2 Emissions,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Days to Start Business,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Ease of Business,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Energy Usage,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,GDP,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Health Exp % GDP,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Health Exp/Capita,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Hours to do Tax,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Infant Mortality Rate,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Internet Usage,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Lending Interest,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Life Expectancy Female,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Life Expectancy Male,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Mobile Phone Usage,0.0362,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Population 0-14,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Population 15-64,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Population 65+,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Population Total,57525.3846153846,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Population Urban,0.88,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Tourism Inbound,,Data between 2000 and 2012 for American Samoa in Oceania.
American Samoa,Oceania,Tourism Outbound,,Data between 2000 and 2012 for American Samoa in Oceania.
Andorra,Europe,Birth Rate,1.05833333333333e-02,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Business Tax Rate,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,CO2 Emissions,537.636363636364,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Days to Start Business,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Ease of Business,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Energy Usage,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,GDP,2268380478.22222,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Health Exp % GDP,6.32307692307692e-02,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Health Exp/Capita,2394.46153846154,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Hours to do Tax,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Infant Mortality Rate,0.003,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Internet Usage,0.513666666666667,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Lending Interest,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Life Expectancy Female,,Data between 2000 and 2012 for Andorra in Europe.
